,yhat_ridge,yhat_naive,y_actual
2021-10-31 06:00:00+05:30,6.0421933645987504,5.854,5.483
2021-10-31 07:00:00+05:30,6.019666591006998,5.553,5.313
2021-10-31 08:00:00+05:30,5.933984752858892,5.384,5.213
2021-10-31 09:00:00+05:30,5.820943143194279,5.164,5.186
2021-10-31 10:00:00+05:30,5.738336236009043,5.144,5.137
2021-10-31 11:00:00+05:30,5.72089491136625,5.106,5.046
2021-10-31 12:00:00+05:30,5.597214222628495,4.546,4.976
2021-10-31 13:00:00+05:30,6.242356531137031,5.986,5.517
2021-10-31 14:00:00+05:30,7.3455552410826295,8.526,7.221
2021-10-31 15:00:00+05:30,6.361275995059446,6.07,6.791
2021-10-31 16:00:00+05:30,5.203905813332674,5.311,5.422
2021-10-31 17:00:00+05:30,4.696394819615178,3.326,4.545
2021-10-31 18:00:00+05:30,6.229363169607458,7.306,5.886
2021-10-31 19:00:00+05:30,7.179185940898029,6.762,4.892
2021-10-31 20:00:00+05:30,6.311212062146183,6.283,5.217
2021-10-31 21:00:00+05:30,6.450331627878658,7.164,2.927
2021-10-31 22:00:00+05:30,5.319767992709662,4.019,6.533
2021-10-31 23:00:00+05:30,5.573755256508831,3.399,7.415
2021-11-01 00:00:00+05:30,6.718217742883167,5.597,6.204
2021-11-01 01:00:00+05:30,7.048452730294696,6.732,7.084
2021-11-01 02:00:00+05:30,6.62275983324916,7.946,6.652
2021-11-01 03:00:00+05:30,6.8881314234275575,6.714,6.67
2021-11-01 04:00:00+05:30,6.26543309307647,6.335,7.213
2021-11-01 05:00:00+05:30,5.863205334183231,5.868,2.923
